year,idind,x,y
2012,32843,"8","1"
2012,32844,"8","2"
2012,40787,"8","2"
2012,40788,"24","2"
2012,32846,"11","3"
2012,32847,"8","3"
2012,32850,"11","2"
2012,32851,"8","2"
2012,32853,"8","1"
2012,32854,"8","3"
2012,32862,"8","2"
2012,32863,"8","2"
2012,44653,"8","3"
2012,32864,"8","3"
2012,32865,"8","3"
2012,32866,"6","2"
2012,32869,"7","3"
2012,32870,"7","3"
2012,32873,"7","3"
2012,32875,"11","3"
2012,44659,"8","2"
2012,32880,"8","3"
2012,32881,"8","2"
2012,32882,"8","2"
2012,32884,"8","2"
2012,32885,"8","2"
2012,44661,"8","2"
2012,44662,"8","2"
2012,32890,"12","3"
2012,44663,"8","3"
2012,44664,"8","2"
2012,32893,"5","2"
2012,32894,"8","3"
2012,32896,"12","1"
2012,32897,"12","2"
2012,32898,"8","2"
2012,40793,"8","1"
2012,44665,"7","2"
2012,32904,"8","2"
2012,44669,"12","2"
2012,44670,"24","1"
2012,44675,"9","2"
2012,32908,"8","2"
2012,32909,"8","1"
2012,44677,"8","2"
2012,44679,"13","1"
2012,32913,"7","4"
2012,32914,"8","4"
2012,44681,"8","3"
2012,44682,"8","4"
2012,44683,"8","1"
2012,44684,"8","1"
2012,32917,"8","2"
2012,32923,"8","4"
2012,32925,"10","4"
2012,32934,"12","4"
2012,32935,"8","3"
2012,32941,"8","2"
2012,32949,"6","4"
2012,32951,"8","3"
2012,32953,"8","4"
2012,40799,"12","2"
2012,40800,"11","2"
2012,32958,"8","3"
2012,32963,"12","4"
2012,32972,"8","2"
2012,32974,"8","1"
2012,32976,"8","2"
2012,32977,"11","2"
2012,32983,"8","4"
2012,32984,"12","3"
2012,32985,"12","3"
2012,32989,"12","2"
2012,32990,"8","3"
2012,40803,"8","3"
2012,40804,"8","3"
2012,32993,"8","3"
2012,33006,"5","4"
2012,33012,"12","3"
2012,33016,"8","3"
2012,33017,"8","3"
2012,33023,"4","3"
2012,33026,"6","1"
2012,33027,"8","1"
2012,33029,"12","3"
2012,16367,"8","4"
2012,583,"8","3"
2012,40805,"9","3"
2012,33031,"8","3"
2012,32790,"8","3"
2012,32803,"8","2"
2012,40807,"8","3"
2012,32936,"11","2"
2012,32937,"6","2"
2012,32964,"8","3"
2012,32965,"8","2"
2012,573,"6","3"
2012,44693,"6","2"
2012,32956,"8","4"
2012,21499,"7","2"
2012,16372,"8","3"
2012,44694,"8","3"
2012,44695,"10","2"
2012,44697,"9","2"
2012,44698,"8","2"
2012,754,"8","3"
2012,16391,"6","3"
2012,16392,"8","3"
2012,16393,"8","3"
2012,767,"9","2"
2012,24163,"12","3"
2012,28772,"8","2"
2012,28773,"8","3"
2012,40811,"12","3"
2012,768,"8","2"
2012,14451,"8","3"
2012,25416,"8","2"
2012,33037,"17","3"
2012,33038,"8","3"
2012,44701,"8","1"
2012,775,"9","2"
2012,776,"7","2"
2012,778,"11","3"
2012,781,"8","3"
2012,782,"9","3"
2012,790,"3","1"
2012,800,"8","2"
2012,44702,"12","2"
2012,777,"11","2"
2012,28785,"8","2"
2012,20065,"10","4"
2012,24168,"8","3"
2012,25365,"8","4"
2012,40813,"8","3"
2012,28783,"8","3"
2012,33039,"10","4"
2012,801,"12","3"
2012,17999,"8","3"
2012,18000,"8","3"
2012,810,"8","3"
2012,811,"8","2"
2012,14460,"10","3"
2012,30201,"8","3"
2012,813,"8","3"
2012,817,"6","3"
2012,804,"8","3"
2012,14461,"6","3"
2012,25402,"10","2"
2012,31426,"8","1"
2012,821,"6","2"
2012,822,"6","2"
2012,823,"8","2"
2012,18004,"8","3"
2012,20070,"8","3"
2012,11532,"12","4"
2012,11534,"8","3"
2012,31427,"8","2"
2012,33042,"12","2"
2012,21520,"8","3"
2012,20073,"8","3"
2012,28795,"12","3"
2012,25409,"7","2"
2012,11542,"8","3"
2012,30204,"10","2"
2012,22878,"10","4"
2012,11537,"8","3"
2012,11538,"7","4"
2012,14470,"12","4"
2012,14471,"12","4"
2012,14467,"8","3"
2012,14468,"8","2"
2012,25374,"8","3"
2012,866,"9","3"
2012,21531,"9","2"
2012,21532,"9","3"
2012,28797,"8","3"
2012,28798,"24","3"
2012,25405,"10","2"
2012,28800,"8","2"
2012,28801,"12","3"
2012,14473,"9","1"
2012,14474,"13","2"
2012,24178,"4","3"
2012,30205,"7","4"
